Amount,Stage,CloseDate,RecurringDonationInstallmentPeriod,RecurringDonationInstallmentAmount,RecurringDonationLastDonationDate,NSFID,FirstGiftDate,LastGiftDate,LastGiftAmount,Region,BillingState,
$30.00,Closed Won,10/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,11/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,12/1/2014,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,11/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,10/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,7/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,9/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,8/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,2/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,1/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,4/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,3/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,6/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,5/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,12/1/2015,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,1/1/2016,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,2/1/2016,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,3/1/2016,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,8/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,9/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,7/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,6/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,10/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,11/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,12/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,1/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,3/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,2/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,11/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,10/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,9/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,1/1/2020,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,12/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,8/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,7/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,6/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,5/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,4/1/2019,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,5/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,3/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,4/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,2/1/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,1/2/2018,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
$30.00,Closed Won,8/4/2017,Monthly,$30.00,2/1/2020,NSF-88085,6/1/2014,2/19/2021,$25.00,South East,FL,
